Neighborhood,Average_Renting_Price
"Rundle, Whitehorn, Monterey Park",1273
"Penbrooke Meadows, Marlborough",1258
"Forest Lawn, Dover, Erin Woods",1192
"Lynnwood Ridge, Ogden, Foothills Industrial, Great Plains",1348
"Bridgeland, Greenview, Zoo, YYC",988
"Inglewood, Burnsland, Chinatown, East Victoria Park, Saddledome",1352
"Highfield, Burns Industrial",1215
"Queensland, Lake Bonavista, Willow Park, Acadia",1401
"Thorncliffe, Tuxedo Park",1172
"Brentwood, Collingwood, Nose Hill",1099
"Mount Pleasant, Capitol Hill, Banff Trail",1170
"Kensington, Westmont, Parkdale, University",1157
"City Centre, Calgary Tower",1469
"Connaught, West Victoria Park",1507
"Elbow Park, Britannia, Parkhill, Mission",1265
South Calgary (Altadore / Bankview / Richmond),1175
"Oak Ridge, Haysboro, Kingsland, Kelvin Grove, Windsor Park",1134
"Braeside, Cedarbrae, Woodbine",1326
"Midnapore, Sundance",1351
"Millrise, Somerset, Bridlewood, Evergreen",1326
"Douglas Glen, McKenzie Lake, Copperfield, East Shepard",1348
"Dalhousie, Edgemont, Hamptons, Hidden Valley",1073
"Montgomery, Bowness, Silver Springs, Greenwood",1442
"Rosscarrock, Westgate, Wildwood, Shaganappi, Sunalta",1224
"Lakeview, Glendale, Killarney, Glamorgan",1158
"Hawkwood, Arbour Lake, Citadel, Ranchlands, Royal Oak, Rocky Ridge",1090
"Discovery Ridge, Signal Hill, West Springs, Christie Estates, Patterson, Cougar Ridge",1158
"Martindale, Taradale, Falconridge, Saddle Ridge",660
"Sandstone, MacEwan Glen, Beddington, Harvest Hills, Coventry Hills, Panorama Hills",1054
"Tuscany, Scenic Acres",1045
"Cranston, Auburn Bay, Mahogany",1550
Northeast Calgary,1258
Symons Valley,1042
Northwest Calgary,1027